latitude,longitude,mg,diff
23.75,121.69,5.9,0.57
24.08,122.29,5.1,0.33
24.12,122.65,6.4,0.17
22.6,121.4,5.1,0.57
24.5,123.66,5.3,2.3
23.92,121.74,5,0.87
24.11,121.71,5.7,1.37
22.23,121.06,5.2,0.63
20.49,121.46,5.3,0.23
23.47,123.59,5.3,3.17
24.94,122.15,5,4.37
22.05,121.98,5.1,0.8
21.84,121.07,5.4,0.13
20.91,121.28,6.1,0.17
23.18,120.57,5.4,1.1
24.94,122.93,5.3,0.1
23.98,121.81,5.5,0.4
24.78,122.53,5.4,0.5
25.04,123.49,5,0.97
24.05,122.37,5.6,0.9
22.78,123.63,5.8,0.9
21,120.32,5.5,0.43
24.17,122.54,6.2,0
24.03,122.53,5.6,0
24.03,122.51,5.3,0
24.07,122.56,5.9,0.03
23.96,122.45,6.6,0
23.86,122.73,5.1,0
23.9,122.54,5.5,0
23.85,122.54,5,0.07
23.81,122.46,5.1,0.23
20.95,121.14,5.4,0.1
24.51,121.91,6.4,3.4
23.71,121.96,5.2,0.67
23.1,121.48,5.5,0.3
22.4,121.64,5.2,0.47
24.76,122.21,5.6,0.03
23.93,123.49,5.3,0.93
24.33,122.38,5.3,0.57
24.06,122.64,5.3,0.93
23.62,121.66,5.2,1.47
24.14,121.61,6.2,0.47
20.94,121.97,5.4,0.5
24.58,121.97,5.1,0.33
24.07,122.29,5.7,0
24.07,122.3,5.4,0.2
21.8,121.14,5.2,0.53
22.67,120.69,5.1,0.7
23.93,123.39,5.1,0.37
23.01,121.43,5.7,0.97
24.6,121.7,6,0.1
22.09,121.57,5.3,0.3
23.78,121.29,5.1,0.23
24.32,121.87,5.2,4.67
24.59,121.69,5,0.57
24.04,121.67,5.3,2.6
24.09,122.22,6.3,0
24.03,122.24,5.9,0.47
24,122.22,5.1,0.3
24.34,122.14,5,0.03
24.14,122.2,5.8,2.4
24.95,123.45,5.2,0
24.97,123.3,5.6,1.67
24.6,122.28,5.5,0.4
24.04,122.6,5.7,0.87
21.9,121.5,6.8,0.03
21.61,121.42,5.2,0
21.61,121.32,5,0
21.72,121.39,5.4,0
21.64,121.4,5.1,0
21.59,121.44,5.4,0
21.78,121.4,5.1,0.03
21.81,121.47,5,0.57
24.94,123.48,5.6,0.5
21.81,121.28,5,1.6
24.12,121.8,5.2,1.33
24.68,122.46,5.2,0.37
21.88,121.46,5.3,0.07
24.18,122.67,5,2.83
23.72,121.58,5.1,0.67
22.39,121.47,5,1.67
21.94,121.5,5.2,0.4
22.97,120.93,5.1,0.37
24.71,122.45,5.6,1.33
21.59,120.4,5.4,0
21.63,120.4,5.3,0.03
21.55,120.41,5.2,1.57
25.03,122.45,5.5,0.67
23.98,123.47,5.1,0.4
21.6,121.49,5,0.07
24.16,121.86,5.2,2.17
22.7,121.17,5.2,1.63
20.59,122.14,5.8,4.2
23.51,123.05,5.2,0.17
23.41,120.74,5.7,0.23
21.25,122.02,6.1,0.6
25.01,123.02,5.4,1.1
24.3,122.96,5.4,0.87
22.11,121.75,5.1,1.3
22.68,120.96,5.3,3.23
24.12,122.65,5.9,2.47
24.71,121.89,5,0.9
24.45,122.36,5.4,0.23
23.66,121.63,5,3.07
22.25,121.8,5.4,0.33
23.77,120.98,7.7,0
23.79,121.2,6.1,0
23.57,121.3,6.3,0
23.75,121.19,6.1,0
23.76,121.25,6.2,0
23.41,120.77,5,0
23.98,120.9,5,0
23.8,121.49,5.1,0
23.39,120.96,6.4,0
23.58,120.95,5.3,0.03
23.7,121.35,5.1,0
23.81,121.32,5.2,0
24.06,121.15,5.2,0
23.8,121.43,5.1,0.03
23.73,121.17,6.4,0
23.64,121.14,5.8,0
23.6,121.11,5.3,0.03
23.81,121.27,5.3,0
23.98,121.38,5,0.07
23.56,121.21,5.1,0
23.74,121.16,6.5,0.07
23.66,121.52,5.3,0.13
23.62,121.03,5.2,0.03
24.07,122.43,5.2,0.37
23.87,121.36,5.3,0.17
